eta,alpha,f1,f2,train_acc,test_acc,epochs
0.05,0.0001,l,l,0.967,0.967,81
0.05,0.0002,l,l,0.956,0.967,60
0.05,0.0003,l,l,0.956,0.933,44
0.05,0.0004,l,l,0.967,0.967,37
0.05,0.0005,l,l,0.956,0.933,29
0.1,0.0001,l,l,0.956,0.95,59
0.1,0.0002,l,l,0.956,0.933,44
0.1,0.0003,l,l,0.956,0.933,29
0.1,0.0004,l,l,0.956,0.95,30
0.1,0.0005,l,l,0.967,0.967,29
0.12,0.0001,l,l,0.956,0.95,55
0.12,0.0001,l,l,0.956,0.95,56
0.12,0.0002,l,l,0.967,0.95,44
0.12,0.0003,l,l,0.956,0.933,30
0.12,0.0004,l,l,0.956,0.95,29
0.12,0.0005,l,l,0.967,0.967,29
0.15,0.0001,l,l,0.956,0.883,49
0.15,0.0002,l,l,0.967,0.95,44
0.15,0.0003,l,l,0.956,0.967,38
0.15,0.0004,l,l,0.956,0.95,34
0.15,0.0005,l,l,0.956,0.833,28
